# Zz,delta_electrostatic,delta_em_minus,delta_em_plus
1.00000000e-01,1.46540237e-16,7.53647874e-16,9.16029842e-14
1.01925931e-01,3.93751649e-14,5.33101943e-16,3.41768914e-16
1.03888954e-01,4.35458678e-15,1.52301497e-15,2.41695706e-16
1.05889783e-01,4.35095933e-15,3.37424795e-17,6.90424813e-16
1.07929147e-01,7.95019872e-16,2.71953008e-16,1.96386579e-15
1.10007788e-01,4.07032010e-14,1.08732441e-15,1.17513085e-15
1.12126462e-01,1.96691964e-14,2.43642138e-15,0.00000000e+00
1.14285940e-01,9.55702806e-15,7.47974594e-16,3.85315165e-25
1.16487008e-01,4.44937461e-14,4.58265726e-18,0.00000000e+00
1.18730468e-01,8.13105251e-15,7.01049190e-15,7.91184574e-23
1.21017134e-01,1.30237985e-15,2.23193593e-15,6.93320131e-23
1.23347841e-01,4.61036915e-15,7.14594412e-17,7.07617875e-22
1.25723435e-01,1.72116113e-14,4.61669153e-15,6.17544046e-22
1.28144781e-01,2.22493232e-15,6.73060422e-15,6.41999430e-21
1.30612761e-01,1.02237522e-15,2.44732402e-17,4.65318111e-20
1.33128273e-01,1.45341545e-14,2.21266129e-17,2.49388247e-19
1.35692231e-01,3.76805120e-15,7.08190066e-16,1.81380566e-18
1.38305570e-01,7.38490667e-15,6.44831164e-18,7.79380197e-18
1.40969239e-01,2.62076799e-15,1.02354251e-17,3.97428561e-17
1.43684209e-01,4.88433652e-15,1.06982821e-17,1.86070476e-16
1.46451468e-01,1.75954383e-14,3.08199986e-17,7.95067392e-16
1.49272022e-01,1.72497677e-15,1.09533971e-13,3.26900940e-15
1.52146898e-01,1.88511272e-14,2.26804489e-16,2.47518143e-17
1.55077142e-01,3.84002677e-14,5.79271361e-16,6.47159728e-17
1.58063821e-01,1.39999976e-14,2.66833623e-15,1.66049551e-16
1.61108021e-01,1.58290589e-14,1.60655765e-14,4.15268973e-16
1.64210850e-01,7.97911442e-15,1.58152409e-21,1.00411442e-15
1.67373437e-01,6.47998370e-16,8.09792759e-19,2.38515557e-15
1.70596934e-01,8.68719537e-15,6.78465365e-20,1.93383945e-15
1.73882513e-01,1.73094505e-15,8.55481315e-17,1.55770772e-15
1.77231370e-01,6.02059116e-17,7.24338291e-18,1.24613344e-15
1.80644723e-01,1.05289116e-14,7.73906087e-18,4.00758176e-15
1.84123816e-01,3.53157870e-15,9.41678070e-15,7.95215534e-16
1.87669913e-01,2.11122842e-14,8.21981158e-15,6.23275184e-16
1.91284306e-01,9.26120052e-15,9.34078843e-20,9.37430901e-16
1.94968310e-01,3.15500122e-14,6.48474228e-17,4.76504366e-15
1.98723265e-01,5.30636955e-15,1.83272309e-14,2.96250208e-16
2.02550537e-01,2.48952744e-14,2.29544660e-16,4.64032572e-16
2.06451521e-01,2.08347294e-14,5.30586819e-15,1.73678742e-16
2.10427634e-01,4.48133299e-15,3.44495457e-20,1.30756542e-16
2.14480325e-01,1.07534407e-15,3.27600203e-19,1.01261234e-16
2.18611068e-01,3.02673059e-15,4.09556384e-18,7.53815962e-17
2.22821366e-01,4.01653096e-16,1.04091319e-16,5.60645578e-17
2.27112751e-01,2.20230621e-16,1.52090591e-15,4.09584340e-17
2.31486786e-01,1.63989504e-16,9.71440863e-15,4.97447092e-17
2.35945061e-01,5.81693576e-04,3.61786687e-16,4.24286673e-16
2.40489200e-01,5.92903075e-04,2.87045220e-15,3.78384411e-15
2.45120856e-01,6.04328844e-04,2.07990813e-14,1.11678357e-17
2.49841714e-01,6.15975070e-04,2.08019389e-14,3.61455697e-17
2.54653493e-01,6.27846022e-04,9.75857754e-16,5.60544145e-17
2.59557943e-01,6.39946055e-04,2.11849706e-15,1.24802770e-16
2.64556849e-01,6.52279606e-04,8.61382471e-14,2.77231310e-16
2.69652031e-01,6.64851202e-04,2.68509959e-15,5.94483051e-16
2.74845343e-01,6.77665457e-04,1.75886281e-14,1.23803073e-15
2.80138674e-01,6.90727077e-04,9.92124358e-17,2.21853553e-14
2.85533952e-01,7.04040858e-04,1.12892938e-23,4.84106071e-19
2.91033138e-01,7.17611693e-04,2.91532052e-20,2.67213705e-19
2.96638235e-01,7.31444571e-04,1.00697628e-22,2.55423669e-16
3.02351283e-01,7.45544578e-04,2.01448923e-22,2.59825111e-19
3.08174359e-01,7.59916902e-04,1.33907773e-16,1.68397546e-17
3.14109584e-01,7.74566831e-04,3.94271110e-18,3.10362625e-20
3.20159118e-01,7.89499760e-04,2.97424215e-19,5.45145951e-20
3.26325161e-01,8.04721189e-04,7.04697829e-16,2.62707651e-20
3.32609958e-01,8.20236729e-04,2.19079081e-27,3.22722719e-22
3.39015796e-01,8.36052099e-04,4.19814947e-16,4.68642407e-21
3.45545006e-01,8.52173134e-04,8.19259066e-21,1.24081939e-21
3.52199964e-01,8.68605784e-04,2.07057158e-17,4.30179963e-21
3.58983092e-01,8.85356118e-04,7.28969782e-20,3.70530162e-17
3.65896858e-01,9.02430325e-04,1.42675938e-19,2.16254804e-20
3.72943778e-01,9.19834718e-04,3.61744538e-19,1.29122719e-19
3.80126418e-01,9.37575735e-04,8.68495984e-19,1.56346156e-16
3.87447390e-01,9.55659943e-04,1.94071750e-18,5.06029149e-19
3.94909359e-01,9.74094043e-04,4.86171362e-18,1.32848267e-18
4.02515040e-01,9.92884867e-04,5.88884834e-16,5.26092704e-18
4.10267201e-01,1.01203939e-03,2.29428897e-17,7.66065547e-18
4.18168664e-01,1.03156471e-03,4.84496410e-17,2.49937738e-15
4.26222303e-01,1.05146809e-03,9.81020076e-17,3.53178988e-17
4.34431050e-01,1.07175693e-03,2.05704946e-16,2.22227154e-15
4.42797892e-01,1.09243878e-03,4.03479621e-16,1.44115311e-16
4.51325873e-01,1.11352134e-03,7.87865218e-16,2.86840256e-16
4.60018098e-01,1.13501247e-03,1.50192099e-15,5.47312236e-16
4.68877728e-01,1.15692020e-03,2.78634105e-15,2.65178392e-17
4.77907989e-01,1.17925269e-03,1.73739002e-24,5.14846604e-17
4.87112167e-01,1.20201830e-03,4.48598376e-24,9.28903661e-17
4.96493610e-01,1.22522555e-03,1.31347928e-23,1.68225327e-16
5.06055734e-01,1.24888313e-03,1.00733619e-20,2.90622608e-16
5.15802017e-01,1.27299992e-03,1.37358985e-23,4.91536813e-16
5.25736008e-01,1.29758498e-03,6.35820249e-23,8.13008750e-16
5.35861320e-01,1.32264753e-03,1.39099250e-22,1.35386040e-15
5.46181638e-01,1.34819703e-03,8.85194075e-23,7.61932437e-16
5.56700719e-01,1.37424310e-03,4.86056356e-22,4.16511104e-16
5.67422390e-01,1.40079556e-03,1.29645302e-34,2.28079503e-16
5.78350553e-01,2.95040773e-03,2.28772591e-22,1.16976813e-16
5.89489185e-01,3.04877568e-03,1.83620263e-21,6.15245686e-17
6.00842339e-01,3.15339602e-03,1.13945705e-21,3.04291110e-17
6.12414147e-01,3.26499683e-03,9.40226072e-22,1.45226532e-17
6.24208820e-01,3.38443438e-03,1.27275708e-34,7.21600970e-18
6.36230651e-01,3.51272379e-03,2.50831923e-20,3.30548559e-18
6.48484013e-01,3.65107929e-03,1.21701113e-20,1.16411426e-18
6.60973367e-01,3.80096756e-03,1.55474638e-20,5.44064606e-19
6.73703257e-01,3.96417977e-03,6.59238714e-21,2.81855486e-19
6.86678316e-01,4.14293028e-03,3.95604783e-20,4.35027080e-20
6.99903266e-01,4.33999479e-03,9.25401202e-21,1.06968832e-20
7.13382919e-01,4.55890759e-03,8.36962863e-20,6.68838291e-21
7.27122181e-01,4.80425049e-03,5.78375283e-20,9.75965363e-21
7.41126051e-01,5.08208757e-03,1.29503507e-19,8.20121224e-21
7.55399627e-01,5.40064071e-03,4.29517023e-20,9.30810753e-21
7.69948101e-01,5.77137803e-03,2.99051770e-19,1.86706216e-21
7.84776769e-01,6.21084198e-03,1.69368079e-18,1.90588326e-20
7.99891028e-01,6.74386772e-03,3.11301736e-18,1.15914790e-20
8.15296376e-01,7.40953996e-03,2.65118598e-18,2.19899568e-20
8.30998420e-01,8.27270052e-03,4.15978366e-18,4.58743899e-20
8.47002875e-01,9.44590283e-03,5.07501041e-18,1.40319533e-19
8.63315565e-01,1.11174614e-02,6.73362459e-18,7.75564478e-20
8.79942426e-01,1.34343826e-02,8.87254108e-18,8.10433759e-20
8.96889509e-01,1.55410546e-02,1.25155584e-17,1.30687208e-19
9.14162981e-01,1.48537978e-02,1.51411976e-17,4.16400265e-20
9.31769128e-01,6.45313097e-03,2.17856378e-17,1.34798710e-19
9.49714357e-01,2.35147631e-03,2.35117122e-17,1.94326809e-16
9.68005199e-01,2.39719246e-03,2.64382979e-17,5.21186604e-17
9.86648310e-01,2.44381455e-03,3.45774967e-17,1.40314194e-17
1.00565047e+00,2.49136155e-03,4.53786412e-17,6.14675783e-18
1.02501861e+00,2.53985288e-03,4.35043959e-17,1.32725749e-18
1.04475976e+00,2.58930846e-03,4.87652952e-17,5.63030513e-19
1.06488111e+00,2.63974867e-03,5.82757158e-17,2.56983794e-19
1.08538998e+00,2.69119441e-03,5.16013985e-17,2.29612284e-19
1.10629384e+00,2.74366708e-03,4.17075169e-17,1.06748078e-19
1.12760030e+00,2.79718865e-03,4.00241539e-17,3.89422900e-20
1.14931710e+00,2.85178161e-03,3.74583107e-17,3.40275196e-20
1.17145215e+00,2.90746904e-03,2.53866751e-17,3.66448746e-21
1.19401351e+00,2.96427463e-03,1.83875488e-17,4.99252681e-16
1.21700939e+00,3.02222265e-03,1.20675655e-17,0.00000000e+00
1.24044815e+00,3.08133804e-03,6.14608926e-18,1.36662102e-21
1.26433832e+00,3.14164637e-03,0.00000000e+00,2.57211923e-21
1.28868860e+00,3.20317392e-03,0.00000000e+00,0.00000000e+00
1.31350785e+00,3.26594767e-03,0.00000000e+00,0.00000000e+00
1.33880511e+00,3.32999532e-03,0.00000000e+00,0.00000000e+00
1.36458957e+00,3.39534536e-03,0.00000000e+00,0.00000000e+00
1.39087062e+00,3.46202704e-03,0.00000000e+00,7.55090457e-18
1.41765783e+00,3.53007048e-03,0.00000000e+00,1.34895524e-17
1.44496093e+00,3.59950660e-03,0.00000000e+00,0.00000000e+00
1.47278988e+00,3.67036726e-03,0.00000000e+00,0.00000000e+00
1.50115480e+00,3.74268521e-03,0.00000000e+00,0.00000000e+00
1.53006600e+00,3.81649419e-03,0.00000000e+00,0.00000000e+00
1.55953402e+00,3.89182893e-03,2.95134378e-17,0.00000000e+00
1.58956956e+00,3.96872521e-03,2.59326674e-18,0.00000000e+00
1.62018357e+00,4.04721991e-03,5.55522654e-17,0.00000000e+00
1.65138719e+00,4.12735105e-03,6.38010263e-16,0.00000000e+00
1.68319176e+00,4.20915783e-03,3.10933359e-15,0.00000000e+00
1.71560887e+00,4.29268071e-03,1.23524602e-22,0.00000000e+00
1.74865032e+00,4.37796142e-03,3.94146235e-22,2.50815631e-21
1.78232811e+00,4.46504309e-03,1.14220016e-21,6.48802005e-20
1.81665452e+00,4.55397025e-03,2.39771978e-21,5.20380309e-20
1.85164203e+00,4.64478893e-03,6.42548185e-21,1.59773338e-22
1.88730337e+00,4.73754672e-03,9.51193505e-21,4.62683702e-20
1.92365153e+00,4.83229285e-03,1.47718843e-20,2.84981958e-19
1.96069973e+00,4.92907827e-03,4.02014043e-20,2.73394959e-18
1.99846145e+00,5.02795575e-03,6.99763876e-20,1.33669461e-17
2.03695044e+00,5.12897994e-03,1.49020109e-19,6.79871194e-17
2.07618070e+00,5.23220752e-03,1.73944315e-19,3.86904719e-16
2.11616650e+00,5.33769723e-03,3.25674513e-19,1.54897239e-21
2.15692241e+00,5.44551006e-03,6.65350610e-19,1.86366367e-18
2.19846324e+00,5.55570933e-03,4.60035619e-19,1.06077362e-22
2.24080412e+00,5.66836082e-03,1.21746423e-18,4.44256614e-21
2.28396046e+00,5.78353290e-03,1.58320012e-18,8.05726355e-18
2.32794796e+00,5.90129671e-03,2.44883362e-18,5.39718063e-21
2.37278263e+00,6.02172629e-03,2.20005305e-18,5.85915701e-18
2.41848078e+00,6.14489875e-03,1.93768149e-18,1.60015656e-19
2.46505905e+00,6.27089445e-03,1.93653647e-18,1.48921588e-19
2.51253438e+00,6.39979723e-03,1.46708128e-18,4.46323407e-19
2.56092406e+00,6.53169458e-03,6.77498067e-19,2.89523371e-16
2.61024568e+00,6.66667787e-03,2.78111662e-18,3.70100144e-18
2.66051721e+00,6.80484263e-03,2.09570721e-18,1.56960157e-21
2.71175693e+00,6.94628877e-03,6.24098415e-19,2.51867805e-20
2.76398350e+00,7.09112092e-03,3.71182978e-20,3.97659932e-19
2.81721591e+00,7.23944866e-03,1.08326337e-18,3.36792501e-18
2.87147354e+00,7.39138694e-03,1.66943570e-17,7.86120771e-17
2.92677614e+00,7.54705639e-03,2.85781288e-16,8.14414575e-24
2.98314382e+00,7.70658372e-03,7.93583956e-35,1.28758044e-22
3.04059711e+00,7.87010219e-03,6.16885410e-23,1.83775738e-21
3.09915691e+00,8.03775201e-03,3.94911961e-22,2.24540334e-20
3.15884453e+00,8.20968090e-03,3.37835415e-21,3.78769589e-19
3.21968169e+00,8.38604461e-03,1.48042255e-20,1.98489516e-17
3.28169053e+00,8.56700758e-03,9.47308305e-20,6.26186072e-24
3.34489362e+00,8.75274354e-03,3.11471538e-19,3.72968766e-22
3.40931396e+00,8.94343626e-03,1.85825517e-18,1.84190819e-20
3.47497499e+00,9.13928036e-03,4.46819796e-18,4.42568625e-18
3.54190061e+00,9.34048218e-03,1.52937167e-17,1.83531542e-23
3.61011517e+00,9.54726074e-03,5.80484136e-35,9.19184281e-21
3.67964349e+00,9.75984881e-03,8.85791203e-24,7.54070438e-25
3.75051088e+00,9.97849407e-03,8.72869638e-23,1.33130188e-25
3.82274312e+00,1.02034604e-02,6.23200014e-22,1.68371463e-19
3.89636651e+00,1.04350295e-02,3.89990032e-21,6.14330198e-21
3.97140784e+00,1.06735020e-02,2.89700380e-20,1.02586262e-21
4.04789441e+00,1.09191999e-02,1.69675898e-19,1.94792413e-24
4.12585406e+00,1.11724681e-02,8.60219176e-19,3.82688732e-28
4.20531515e+00,1.14336768e-02,3.91629085e-18,5.00360933e-24
4.28630662e+00,1.17032238e-02,1.14371492e-17,0.00000000e+00
4.36885792e+00,1.19815377e-02,8.35820817e-34,2.80943353e-21
4.45299910e+00,1.22690804e-02,7.69840822e-23,4.71839329e-22
4.53876079e+00,1.25663513e-02,1.19114412e-21,1.84144061e-17
4.62617418e+00,1.28738909e-02,1.93823091e-20,2.30490750e-19
4.71527110e+00,1.31922856e-02,2.47419066e-19,2.86989848e-19
4.80608396e+00,1.35221723e-02,2.14918563e-18,1.83054005e-18
4.89864582e+00,1.38642453e-02,2.19744145e-17,9.26858138e-21
4.99299035e+00,1.42192619e-02,3.39770785e-23,0.00000000e+00
5.08915189e+00,1.45880509e-02,1.51578411e-21,0.00000000e+00
5.18716544e+00,1.49715212e-02,9.32122400e-20,0.00000000e+00
5.28706666e+00,1.53706720e-02,5.08965885e-18,0.00000000e+00
5.38889191e+00,1.57866047e-02,1.02673166e-23,0.00000000e+00
5.49267824e+00,1.62205368e-02,8.59243757e-21,0.00000000e+00
5.59846343e+00,1.66738180e-02,6.15868836e-18,0.00000000e+00
5.70628596e+00,1.71479486e-02,6.50035144e-22,0.00000000e+00
5.81618508e+00,1.76446024e-02,1.84317843e-16,0.00000000e+00
5.92820079e+00,1.81656521e-02,0.00000000e+00,0.00000000e+00
6.04237384e+00,1.87132004e-02,2.58673924e-19,0.00000000e+00
6.15874578e+00,1.92896171e-02,0.00000000e+00,0.00000000e+00
6.27735897e+00,1.98975822e-02,0.00000000e+00,0.00000000e+00
6.39825656e+00,2.05401386e-02,0.00000000e+00,0.00000000e+00
6.52148256e+00,2.12207551e-02,0.00000000e+00,0.00000000e+00
6.64708180e+00,2.19434013e-02,0.00000000e+00,0.00000000e+00
6.77510000e+00,2.27126388e-02,0.00000000e+00,0.00000000e+00
6.90558375e+00,2.35337298e-02,0.00000000e+00,0.00000000e+00
7.03858052e+00,2.44127677e-02,0.00000000e+00,0.00000000e+00
7.17413871e+00,2.53568315e-02,0.00000000e+00,0.00000000e+00
7.31230766e+00,2.63741661e-02,0.00000000e+00,0.00000000e+00
7.45313765e+00,2.74743862e-02,0.00000000e+00,0.00000000e+00
7.59667993e+00,2.86686935e-02,0.00000000e+00,0.00000000e+00
7.74298674e+00,2.99700794e-02,0.00000000e+00,0.00000000e+00
7.89211131e+00,3.13934543e-02,0.00000000e+00,0.00000000e+00
8.04410792e+00,3.29555743e-02,0.00000000e+00,0.00000000e+00
8.19903187e+00,3.46745212e-02,5.51427677e-21,0.00000000e+00
8.35693956e+00,3.65682798e-02,8.02768671e-20,0.00000000e+00
8.51788844e+00,3.86516354e-02,1.40300130e-18,0.00000000e+00
8.68193708e+00,4.09302417e-02,1.31654397e-23,0.00000000e+00
8.84914519e+00,4.33906069e-02,5.82594421e-20,0.00000000e+00
9.01957361e+00,4.59857884e-02,6.72377014e-17,0.00000000e+00
9.19328436e+00,4.86199072e-02,6.81108291e-21,0.00000000e+00
9.37034066e+00,5.11394926e-02,7.01655407e-18,0.00000000e+00
9.55080694e+00,5.33405445e-02,5.11601225e-20,0.00000000e+00
9.73474888e+00,5.49906583e-02,2.72210756e-22,0.00000000e+00
9.92223342e+00,5.58515271e-02,3.80204010e-17,0.00000000e+00
1.01133288e+01,5.56840932e-02,5.14480284e-33,0.00000000e+00
1.03081045e+01,5.42268237e-02,6.50403999e-17,0.00000000e+00
1.05066315e+01,5.11386841e-02,1.67149618e-32,0.00000000e+00
1.07089819e+01,4.58687007e-02,0.00000000e+00,0.00000000e+00
1.09152295e+01,3.72621462e-02,0.00000000e+00,0.00000000e+00
1.11254493e+01,2.12555548e-02,0.00000000e+00,0.00000000e+00
1.13397177e+01,1.45821968e-15,0.00000000e+00,0.00000000e+00
1.15581129e+01,2.73054243e-17,0.00000000e+00,0.00000000e+00
1.17807141e+01,6.44274990e-17,0.00000000e+00,0.00000000e+00
1.20076025e+01,1.87536672e-15,0.00000000e+00,0.00000000e+00
1.22388607e+01,9.65163166e-17,0.00000000e+00,0.00000000e+00
1.24745727e+01,2.74314027e-17,0.00000000e+00,0.00000000e+00
1.27148243e+01,2.53164644e-15,0.00000000e+00,0.00000000e+00
1.29597030e+01,6.06981539e-17,0.00000000e+00,0.00000000e+00
1.32092980e+01,2.69301537e-16,0.00000000e+00,0.00000000e+00
1.34636999e+01,1.80005911e-16,0.00000000e+00,0.00000000e+00
1.37230015e+01,1.45406492e-16,0.00000000e+00,0.00000000e+00
1.39872970e+01,2.08940163e-14,0.00000000e+00,0.00000000e+00
1.42566826e+01,5.24683010e-16,0.00000000e+00,0.00000000e+00
1.45312565e+01,3.95026067e-16,0.00000000e+00,0.00000000e+00
1.48111185e+01,6.00846531e-15,0.00000000e+00,0.00000000e+00
1.50963704e+01,1.12027300e-16,0.00000000e+00,0.00000000e+00
1.53871160e+01,1.78258317e-14,0.00000000e+00,0.00000000e+00
1.56834612e+01,2.11349569e-17,0.00000000e+00,0.00000000e+00
1.59855139e+01,5.68944861e-16,0.00000000e+00,0.00000000e+00
1.62933838e+01,3.07751737e-15,0.00000000e+00,0.00000000e+00
1.66071831e+01,2.27147911e-17,0.00000000e+00,0.00000000e+00
1.69270260e+01,8.78714213e-18,0.00000000e+00,0.00000000e+00
1.72530288e+01,9.53278586e-15,0.00000000e+00,0.00000000e+00
1.75853102e+01,5.78374091e-16,0.00000000e+00,0.00000000e+00
1.79239911e+01,1.86157390e-17,0.00000000e+00,0.00000000e+00
1.82691948e+01,5.77834703e-17,0.00000000e+00,0.00000000e+00
1.86210469e+01,8.19794915e-16,0.00000000e+00,0.00000000e+00
1.89796753e+01,1.53290583e-15,1.61631682e-21,0.00000000e+00
1.93452108e+01,2.78684446e-16,0.00000000e+00,0.00000000e+00
1.97177862e+01,6.12494213e-15,0.00000000e+00,0.00000000e+00
2.00975371e+01,1.04606372e-16,0.00000000e+00,0.00000000e+00
2.04846018e+01,3.11649678e-15,0.00000000e+00,0.00000000e+00
2.08791210e+01,1.38492843e-14,0.00000000e+00,0.00000000e+00
2.12812385e+01,1.16002384e-14,0.00000000e+00,0.00000000e+00
2.16911004e+01,2.62427917e-16,0.00000000e+00,0.00000000e+00
2.21088560e+01,7.02607536e-16,0.00000000e+00,0.00000000e+00
2.25346573e+01,8.10849931e-17,0.00000000e+00,0.00000000e+00
2.29686592e+01,3.62844466e-16,0.00000000e+00,0.00000000e+00
2.34110197e+01,2.43889178e-17,0.00000000e+00,0.00000000e+00
2.38618998e+01,2.98475438e-15,0.00000000e+00,0.00000000e+00
2.43214635e+01,1.56630724e-15,0.00000000e+00,0.00000000e+00
2.47898780e+01,2.77006456e-16,0.00000000e+00,0.00000000e+00
2.52673139e+01,7.30478555e-16,0.00000000e+00,0.00000000e+00
2.57539449e+01,1.42516676e-16,0.00000000e+00,0.00000000e+00
2.62499481e+01,2.27031068e-17,0.00000000e+00,0.00000000e+00
2.67555040e+01,8.59332769e-17,0.00000000e+00,0.00000000e+00
2.72707965e+01,3.06761782e-15,0.00000000e+00,0.00000000e+00
2.77960132e+01,2.38729954e-15,0.00000000e+00,0.00000000e+00
2.83313452e+01,1.30514941e-16,0.00000000e+00,0.00000000e+00
2.88769873e+01,1.79781472e-16,0.00000000e+00,0.00000000e+00
2.94331381e+01,1.84539888e-16,0.00000000e+00,0.00000000e+00
3.00000000e+01,2.59494052e-17,0.00000000e+00,0.00000000e+00
